[INFO] 2025-12-16 21:09:09,579 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:09:14,769 basehttp 19280 20544 - "GET /tickets/61/ HTTP/1.1" 200 59816
[INFO] 2025-12-16 21:09:14,855 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:09:18,583 basehttp 19280 20544 - "GET /about/ HTTP/1.1" 200 65187
[INFO] 2025-12-16 21:09:18,677 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:09:23,507 basehttp 19280 20544 - "GET /tickets/ HTTP/1.1" 200 61333
[INFO] 2025-12-16 21:09:23,591 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:09:25,825 basehttp 19280 20544 - "GET /tickets/create/ HTTP/1.1" 200 86936
[INFO] 2025-12-16 21:09:25,912 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:09:40,904 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:09:55,902 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:09:56,562 basehttp 19280 20544 - "GET /about/ HTTP/1.1" 200 65187
[INFO] 2025-12-16 21:09:56,705 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:10:04,017 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:10:04,043 basehttp 19280 10616 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:10:04,075 basehttp 19280 18324 - "GET /completed/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:10:04,117 basehttp 19280 18324 - "GET / HTTP/1.1" 200 55466
[INFO] 2025-12-16 21:10:04,261 basehttp 19280 18324 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:10:06,179 basehttp 19280 18324 - "GET /tickets/61/ HTTP/1.1" 200 59816
[INFO] 2025-12-16 21:10:06,293 basehttp 19280 18324 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:10:09,179 basehttp 19280 18324 - "GET / HTTP/1.1" 200 55181
[INFO] 2025-12-16 21:10:09,264 basehttp 19280 18324 - "GET /notifications/api/ HTTP/1.1" 200 33
